Bitcoin,BTC,"Large Cap Cryptocurrencies, Payment Coins"
Ethereum,ETH,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
Tether,USDT,Stablecoins
Solana,SOL,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
BNB,BNB,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
XRP,XRP,"Large Cap Cryptocurrencies, Payment Coins"
Dogecoin,DOGE,Meme Coins
USDC,USDC,Stablecoins
Lido Staked Ether,STETH,"Smart-contracts, DEFI, Lending, Borrowing, and Savings"
Cardano,ADA,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
TRON,TRX,"Smart-contracts, Platform Tokens"
Shiba Inu,SHIB,Meme Coins
Avalanche,AVAX,"Smart-contracts, Platform Tokens"
Toncoin,TON,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
Wrapped Bitcoin,WBTC,"Large Cap Cryptocurrencies, Payment Coins"
Wrapped stETH,WSTETH,"DEFI, Lending, Borrowing, and Savings"
Sui,SUI,"Smart-contracts, Platform Tokens"
Chainlink,LINK,Infrastructure and Scalability Solutions
WETH,WETH,"Smart-contracts, Platform Tokens"
Pepe,PEPE,Meme Coins
Bitcoin Cash,BCH,Payment Coins
Polkadot,DOT,"Large Cap Cryptocurrencies, Smart-contracts, Platform Tokens"
Stellar,XLM,Payment Coins
NEAR Protocol,NEAR,"Smart-contracts, Platform Tokens"
LEO Token,LEO,Utility Tokens
Litecoin,LTC,Payment Coins
Aptos,APT,"Smart-contracts, Platform Tokens"
Wrapped eETH,WEETH,"Smart-contracts, DEFI"
Uniswap,UNI,"DEXs, DEFI, Governance Tokens"
USDS,USDS,Stablecoins
Hedera,HBAR,"Smart-contracts, Platform Tokens"
Cronos,CRO,Platform Tokens
Internet Computer,ICP,Platform Tokens
Kaspa,KAS,Large Cap Cryptocurrencies
Ethereum Classic,ETC,"Smart-contracts, Platform Tokens"
Render,RENDER,Utility Tokens
MANTRA,OM,"DEFI, Governance Tokens"
Bittensor,TAO,DEFI
dogwifhat,WIF,Meme Coins
Bonk,BONK,Meme Coins
Artificial Superintelligence Alliance,FET,Infrastructure and Scalability Solutions
POL (ex-MATIC),POL,"Smart-contracts, Platform Tokens"
Ethena USDe,USDE,Stablecoins
Dai,DAI,Stablecoins
WhiteBIT Coin,WBT,Utility Tokens
Stacks,STX,"Smart-contracts, Platform Tokens"
Arbitrum,ARB,"DEFI, Smart-contracts, Platform Tokens"
Monero,XMR,Privacy Coins
Filecoin,FIL,Utility Tokens
OKB,OKB,Utility Tokens
First Digital USD,FDUSD,Stablecoins
VeChain,VET,Industry-Specific Coins
Aave,AAVE,"DEFI, Lending, Borrowing, and Savings"
FLOKI,FLOKI,Meme Coins
Injective,INJ,"DEFI, Governance Tokens"
Mantle,MNT,"Smart-contracts, Platform Tokens"
Cosmos Hub,ATOM,"Smart-contracts, Platform Tokens"
Immutable,IMX,Gaming & Collectibles Tokens (NFTs)
Celestia,TIA,Infrastructure and Scalability Solutions
Sei,SEI,"Smart-contracts, Platform Tokens"
Optimism,OP,"Smart-contracts, Platform Tokens"
The Graph,GRT,Infrastructure and Scalability Solutions
Fantom,FTM,"Smart-contracts, Platform Tokens"
Bitget Token,BGB,Utility Tokens
Binance-Peg WETH,WETH,"Smart-contracts, Platform Tokens"
THORChain,RUNE,"DEXs, DEFI"
Popcat,POPCAT,Meme Coins
Algorand,ALGO,"Smart-contracts, Platform Tokens"
Ethena,ENA,Stablecoins
Theta Network,THETA,Infrastructure and Scalability Solutions
Brett,BRETT,Meme Coins
Peanut the Squirrel,PNUT,Meme Coins
Raydium,RAY,"DEXs, DEFI"
Rocket Pool ETH,RETH,"DEFI, Lending, Borrowing, and Savings"
Jupiter,JUP,DEFI
Worldcoin,WLD,Utility Tokens
Solv Protocol SolvBTC,SOLVBTC,DEFI
Mantle Staked Ether,METH,DEFI
Pyth Network,PYTH,Infrastructure and Scalability Solutions
Ondo,ONDO,DEFI
Renzo Restaked ETH,EZETH,DEFI
Coinbase Wrapped BTC,CBBTC,"Large Cap Cryptocurrencies, Payment Coins"
Bitcoin SV,BSV,Payment Coins
Maker,MKR,"DEFI, Governance Tokens"
Marinade Staked SOL,MSOL,DEFI
Quant,QNT,Utility Tokens
